Mon Dec 10 19:43:57 2018    ./profile.stats

         1106127434 function calls (1105796362 primitive calls) in 389.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/main.py:1(<module>)
      666    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/string.py:162(convert)
      482    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:141(__getitem__)
     2592    0.000    0.000    0.000    0.000 ./core.py:82(getWeightIndex)
      117    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/re.py:138(match)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/numbers.py:6(<module>)
       40    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:109(get_object_signature)
        1    0.000    0.000    0.000    0.000 {function seed at 0x106e27de8}
       46    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:256(_optimize_charset)
   177/78    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:151(getwidth)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:304(_add_aliases)
       23    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:5983(__init__)
       23    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:5988(getdoc)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/_iotools.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/fromnumeric.py:3(<module>)
       13    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc.py:105(register)
    76/56    0.000    0.000    0.000    0.000 {issubclass}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/extras.py:10(<module>)
      124    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fffa3270498}
     2709    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/matrixlib/defmatrix.py:1(<module>)
    17/13    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/records.py:36(<module>)
      394    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:206(match)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:1090(__init__)
       26    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:232(bitname)
       40    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:120(getargspec)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffTags.py:348(_populate)
       31    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:159(formatargspec)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numeric.py:346(extend_all)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/__init__.py:14(<module>)
       19    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/testing/nosetester.py:140(__init__)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageFile.py:30(<module>)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:656(__init__)
     2731    0.000    0.000    0.000    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/defchararray.py:17(<module>)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1565(getLogger)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:7(<module>)
       54    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/abc.py:89(<genexpr>)
      246    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:149(append)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1023(getLogger)
        9    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/extras.py:241(__init__)
       58    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        9    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/extras.py:245(getdoc)
      275    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      916    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       18    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:902(__init__)
       38    0.000    0.000    0.000    0.000 {numpy.core.multiarray.array}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageMode.py:17(<module>)
      103    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffTags.py:26(__new__)
       27    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:822(__init__)
       57    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:428(_simple)
       31    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:265(_reset_cache)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:288(_add_types)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:458(_set_array_types)
        8    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:7190(__init__)
        8    0.000    0.000    0.000    0.000 {map}
       33    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/_import_tools.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {posix.urandom}
       52    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.py:36(__init__)
       21    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:189(__init__)
       18    0.000    0.000    0.000    0.000 {all}
       23    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:227(isname)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/ascii.py:8(<module>)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageSequence.py:19(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffImagePlugin.py:400(ImageFileDirectory_v2)
       32    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       19    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpath.py:120(dirname)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/signals.py:1(<module>)
        8    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:7195(getdoc)
      272    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:78(CFUNCTYPE)
      245    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:137(__len__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/getlimits.py:3(<module>)
        7    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:2563(MaskedArray)
      512    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/testing/nosetester.py:6(<module>)
      117    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:337(<genexpr>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/_endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/nanfunctions.py:20(<module>)
       41    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:268(_escape)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PpmImagePlugin.py:18(<module>)
      103    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:345(_add_integer_aliases)
       21    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:219(_evalname)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/GimpGradientFile.py:16(<module>)
        5    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:59(__init__)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/decimal.py:3783(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/machar.py:7(<module>)
      128    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:92(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/string_escape.py:7(<module>)
       30    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:787(_construct_lookups)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/linalg/linalg.py:76(_determine_error_states)
       14    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:147(_check_size)
       42    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:546(isstring)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/defchararray.py:1668(chararray)
      181    0.000    0.000    0.000    0.000 {_sre.getlower}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/result.py:26(TestResult)
        1    0.000    0.000    0.000    0.000 {posix.getcwd}
       72    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:130(english_lower)
       21    0.000    0.000    0.000    0.000 {_sre.compile}
       28    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:74(opengroup)
       18    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:361(<genexpr>)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/_util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:542(Event)
      116    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
       46    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/GimpPaletteFile.py:17(<module>)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/unittest/result.py:14(failfast)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:125(_RLock)
       74    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:101(fixup)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:242(Condition)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:211(_acquireLock)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageColor.py:20(<module>)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1125(__init__)
        6    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/decimal.py:514(__new__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:561(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/shape_base.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ctypeslib.py:303(prep_simple)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:26(OrderedDict)
       74    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:152(strseq)
        6    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:2694(register_open)
       18    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/collections.py:363(<genexpr>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/StringIO.py:30(<module>)
        1    0.000    0.000    0.000    0.000 ./util.py:4(<module>)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/utils.py:152(deprecate)
       40    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:15(ismethod)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1069(_fixupParents)
       17    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:435(_construct_char_code_lookup)
        7    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffImagePlugin.py:620(_register_basic)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpath.py:358(abspath)
       30    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.py:83(add)
      128    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:221(isident)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/function_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:506(Image)
      121    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:260(__init__)
        6    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:1046(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/fractions.py:44(Fraction)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/ctypes/__init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffImagePlugin.py:283(IFDRational)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/_binary.py:14(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pprint.py:35(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/multiprocessing/process.py:301(__init__)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:386(_set_up_aliases)
        3    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/functools.py:17(update_wrapper)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:147(acquire)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:640(Thread)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/BmpImagePlugin.py:56(BmpImageFile)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/decimal.py:505(Decimal)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PaletteFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/__future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/arraypad.py:5(<module>)
       28    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:85(closegroup)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/financial.py:10(<module>)
       23    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/numbers.py:34(Complex)
       40    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:157(english_upper)
       26    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       25    0.000    0.000    0.000    0.000 {_struct.calcsize}
       14    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numerictypes.py:184(english_capitalize)
       21    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:67(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
       17    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/weakref.py:47(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:827(Unpickler)
       12    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:2743(register_extension)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/_iotools.py:466(StringConverter)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numeric.py:2320(seterr)
       43    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:163(<lambda>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/posixpath.py:329(normpath)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:220(_releaseLock)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/py3k.py:4(<module>)
        1    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/JpegPresets.py:67(<module>)
       17    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.py:20(__enter__)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1254(load_stop)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/polynomial/polytemplate.py:11(<module>)
        9    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/ma/core.py:2419(__init__)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:576(set)
        1    0.000    0.000    0.000    0.000 <string>:7(Hermite)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/twodim_base.py:3(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/fft/helper.py:4(<module>)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/lib/utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 <string>:7(HermiteE)
        5    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/TiffImagePlugin.py:606(decorator)
        2    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/encodings/__init__.py:49(normalize_encoding)
        1    0.000    0.000    0.000    0.000 {posix.uname}
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/subprocess.py:647(Popen)
        3    0.000    0.000    0.000    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:2754(register_extensions)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/_methods.py:5(<module>)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/core/numeric.py:2705(__enter__)
       21    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_weakrefset.py:70(__contains__)
       40    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/compat/_inspect.py:26(isfunction)
        1    0.000    0.000    0.000    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/keyword.py:11(<module>)
